trading_point,open,high,low,close,volume
2021-07-09,2114.66,2187.96,2050.0,2146.58,56784581.39576099
2021-07-10,2147.71,2192.98,2075.0,2109.76,29070544.43005755
2021-07-11,2114.05,2174.11,2081.12,2138.96,30487784.30995466
2021-07-12,2140.43,2168.82,2005.98,2034.88,53029045.98627025
2021-07-13,2032.41,2046.71,1917.0,1940.15,43888557.634661846
2021-07-14,1942.15,2020.06,1865.01,1993.91,48670816.70983367
2021-07-15,1993.6,2040.4,1880.77,1915.93,43388811.36133855
2021-07-16,1921.26,1965.84,1848.13,1876.66,25329565.56868215
2021-07-17,1876.1,1918.98,1845.13,1898.48,15854990.861274574
2021-07-18,1900.83,1994.0,1877.92,1890.99,59487156.69726483
2021-07-19,1886.86,1918.87,1805.0,1817.29,38971668.99720654
2021-07-20,1818.35,1840.74,1717.17,1786.54,40921118.25153597
2021-07-21,1788.25,2034.0,1752.0,1995.5,86998292.90694192
2021-07-22,1994.08,2046.83,1948.19,2023.0,65893194.32179015
2021-07-23,2026.56,2132.81,1997.16,2126.2,87528970.40343508
2021-07-24,2127.16,2200.11,2107.2,2185.86,67968090.70494187
2021-07-25,2186.86,2199.49,2108.0,2194.0,43781908.38482318
2021-07-26,2192.07,2435.01,2175.57,2228.0,131155800.6882376
2021-07-27,2226.89,2321.8,2150.62,2304.62,77799814.84488624
2021-07-28,2299.76,2347.15,2244.81,2299.52,75889846.5217549
2021-07-29,2299.26,2404.08,2266.51,2383.89,38602462.70834684
2021-07-30,2384.16,2473.38,2316.91,2464.18,70684819.82957667
2021-07-31,2465.16,2555.0,2422.78,2525.76,42134031.72789452
2021-08-01,2534.03,2699.0,2512.8,2556.3,76807582.72264734
2021-08-02,2556.17,2665.99,2506.89,2608.07,163499290.1080986
2021-08-03,2605.69,2630.02,2442.58,2508.04,119919573.6952314
2021-08-04,2508.31,2775.0,2457.92,2725.34,96199775.75341776
2021-08-05,2725.0,2845.0,2530.7,2830.09,169288749.7285292
2021-08-06,2830.28,2950.16,2721.4,2892.51,122761754.56082164
2021-08-07,2892.97,3174.16,2868.21,3162.81,193875212.8478581
2021-08-08,3163.73,3190.0,2948.16,3015.33,105741562.50362284
2021-08-09,3016.27,3191.43,2893.21,3167.0,185741926.56300947
2021-08-10,3167.0,3235.0,3050.0,3141.68,196540375.4859222
2021-08-11,3141.5,3279.88,3121.86,3161.79,135844954.19155642
2021-08-12,3160.51,3240.0,2978.57,3044.74,188806312.9997579
2021-08-13,3048.16,3330.08,3035.56,3324.52,231946338.03214744
2021-08-14,3325.99,3333.33,3207.05,3267.79,52000192.272981785
